MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.973,15xTA,STIM,10,1,24,5,1,2024-01-31,10508.9857449667,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,7972.39777795211,15047.3321173565,0.529821347450441,0.0883035579084068
0.01,15xTA,UNSTIM,10,1,24,5,1,2024-01-31,108.006019989381,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2428.58194702524,15047.3321173565,0,0
1.6554,cl069,STIM,10,1,24,5,1,2024-01-31,17879.3165490421,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,15342.7285820274,15047.3321173565,1.01963115204523,1
0.0415,cl069,UNSTIM,10,1,24,5,1,2024-01-31,448.22498295593,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-2088.36298405869,15047.3321173565,0,0
0.233,15xTA,STIM,2,1,48,100,1,2024-02-08,501.793927712789,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,439.338889499609,9009.67766775302,0.0487629974901398,0.04135293414605
1.247,cl069,STIM,10,1,48,100,1,2024-02-08,13427.8332158337,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,13365.3781776205,9009.67766775302,1.48344687462651,1
0.049,cl204,STIM,2,1,48,100,1,2024-02-08,105.5274783602,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,43.0724401470205,9009.67766775302,0.00478068602844508,0.0013146886578224
0.128,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,275.663616940931,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,213.208578727752,9009.67766775302,0.0236643958408032,0.0262937731564479
0.052,cl069,UNSTIM,10,1,48,100,1,2024-02-08,559.941721911267,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,497.486683698087,9009.67766775302,0.0552169236285407,0.0430660133062428
0.033,cl204,UNSTIM,2,1,48,100,1,2024-02-08,71.0695262425839,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,8.6144880294041,9009.67766775302,0.000956137205689016,0.00191227441137803
0.239,15xTA,STIM,2,1,48,100,1,2024-02-12,315.274272046076,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,287.264549411021,5530.18335379232,0.0519448508364608,0.046196170727053
0.0455,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.0208342179769,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.011111582921,5530.18335379232,0.00578843585013676,0.00865084918262197
0.9429,Cl69,STIM,10,1,48,100,1,2024-02-12,6219.08182243191,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,6191.07209979686,5530.18335379232,1.11950575663126,1
0.0282,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,185.998629115049,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,157.988906479993,5530.18335379232,0.0285684752878316,0.0269782456586731
0.0263,Cl204,STIM,2,1,48,100,1,2024-02-12,34.6933613172042,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.68363868214834,5530.18335379232,0.00120857451816042,0.000930284333057693
0.0205,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,27.0423538784292,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-0.967368756626733,5530.18335379232,0,0.000243835209804296
0.0082,cl204,STIM,10,1,24,100,2,2024-01-31,83.2389301521507,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2453.34903686247,15047.3321173565,0,0
0.0351,cl204,UNSTIM,10,1,24,100,2,2024-01-31,356.303225407377,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,2536.58796701462,-2180.28474160725,15047.3321173565,0,0.128919950622928
