MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.6145,cl069,STIM,10,1,24,100,1,2024-01-31,17437.5719272855,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17167.2145891084,17485.4723280104,0.981798733661188,1
1.6305,cl069,STIM,10,1,24,100,1,2024-01-31,17610.3815592685,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17340.0242210914,17485.4723280104,0.991681774207149,1
1.6869,cl069,STIM,10,1,24,100,1,2024-01-31,18219.5355120086,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17949.1781738315,17485.4723280104,1.02651949213166,1
0.1144,cl069,UNSTIM,10,1,24,100,1,2024-01-31,1235.58886867852,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,965.231530501408,17485.4723280104,0.0552019134739173,0.025367484825797
0.0467,cl069,UNSTIM,10,1,24,100,1,2024-01-31,504.388113350408,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,234.030775173301,17485.4723280104,0.0133842981638191,0.025367484825797
0.0372,cl069,UNSTIM,10,1,24,100,1,2024-01-31,401.782394360496,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,131.425056183389,17485.4723280104,0.00751624283965469,0.025367484825797
0.233,15xTA,STIM,2,1,48,100,1,2024-02-08,501.793927712789,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,404.880937381993,12203.8580416558,0.0331764705882353,0.0277058823529412
1.247,cl069,STIM,10,1,48,100,1,2024-02-08,13427.8332158337,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,13330.9202255029,12203.8580416558,1.09235294117647,1
0.049,cl204,STIM,2,1,48,100,1,2024-02-08,105.5274783602,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,8.6144880294041,12203.8580416558,0.000705882352941176,0.000235294117647059
0.2,15xTA,STIM,2,1,48,100,1,2024-02-08,430.724401470205,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,333.811411139409,12203.8580416558,0.0273529411764706,0.0277058823529412
1.122,cl069,STIM,10,1,48,100,1,2024-02-08,12081.8194612393,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,11984.9064709085,12203.8580416558,0.982058823529412,1
0.039,cl204,STIM,2,1,48,100,1,2024-02-08,83.99125828669,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,-12.9217320441062,12203.8580416558,0,0.000235294117647059
0.173,15xTA,STIM,2,1,48,100,1,2024-02-08,372.576607271727,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,275.663616940931,12203.8580416558,0.0225882352941176,0.0277058823529412
1.058,cl069,STIM,10,1,48,100,1,2024-02-08,11392.6604188869,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,11295.7474285561,12203.8580416558,0.925588235294117,1
0.032,cl204,STIM,2,1,48,100,1,2024-02-08,68.9159042352328,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,-27.9970860955633,12203.8580416558,0,0.000235294117647059
0.128,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,275.663616940931,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,178.750626610135,12203.8580416558,0.0146470588235294,0.0165882352941176
0.052,cl069,UNSTIM,10,1,48,100,1,2024-02-08,559.941721911267,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,463.028731580471,12203.8580416558,0.0379411764705882,0.0458823529411765
0.033,cl204,UNSTIM,2,1,48,100,1,2024-02-08,71.0695262425839,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,-25.8434640882123,12203.8580416558,0,0.000705882352941177
0.144,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,310.121569058548,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,213.208578727752,12203.8580416558,0.0174705882352941,0.0165882352941176
0.058,cl069,UNSTIM,10,1,48,100,1,2024-02-08,624.550382131798,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,527.637391801001,12203.8580416558,0.0432352941176471,0.0458823529411765
0.048,cl204,UNSTIM,2,1,48,100,1,2024-02-08,103.373856352849,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,6.46086602205308,12203.8580416558,0.000529411764705883,0.000705882352941177
