MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0268,MyD88-GFP-synTRAF6-BD-1x,0,5,1,24,5,1,2022-11-24,47.2241629066537,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,40.8806186356106,3935.57681885554,0.010387452848017,0.00807415515916263
0.0111,MyD88-GFP-synTRAF6-BD-1x,1e-04,5,1,24,5,1,2022-11-24,19.5592615023827,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,13.2157172313396,3935.57681885554,0.00335801277414343,0.00514895292035325
0.0456,MyD88-GFP-synTRAF6-BD-1x,0.01,5,1,24,5,1,2022-11-24,80.351560766545,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,74.008016495502,3935.57681885554,0.0188048715352032,0.0120142234808243
0.0501,MyD88-GFP-synTRAF6-BD-1x,0.1,5,1,24,5,1,2022-11-24,88.2809911053488,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,81.9374468343058,3935.57681885554,0.0208196791996892,0.020774905696034
0.0567,MyD88-GFP-synTRAF6-BD-1x,1,5,1,24,5,1,2022-11-24,99.9108222689277,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,93.5672779978847,3935.57681885554,0.0237747304409354,0.0203570196619184
0.0608,MyD88-GFP-synTRAF6-BD-1x,10,5,1,24,5,1,2022-11-24,107.135414355393,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,100.79187008435,3935.57681885554,0.0256104440908005,0.0221479598081282
0.091,MyD88-GFP-synTRAF6-BD-1x,100,5,1,24,5,1,2022-11-24,160.350702406921,TRUE,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#00DAE0,17,6.34354427104303,154.007158135878,3935.57681885554,0.0391320421946847,0.0285804198332651
0.009,MyD88-GFP-synTRAF6-BD-3x,0,5,1,24,5,1,2022-11-24,15.8588606776076,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,9.51531640656454,3935.57681885554,0.00241776919738327,0.00235807119250961
0.0074,MyD88-GFP-synTRAF6-BD-3x,1e-04,5,1,24,5,1,2022-11-24,13.0395076682551,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,6.69596339721209,3935.57681885554,0.00170139313889934,0.00201480766448606
0.007,MyD88-GFP-synTRAF6-BD-3x,0.01,5,1,24,5,1,2022-11-24,12.334669415917,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,5.99112514487397,3935.57681885554,0.00152229912427835,0.00262671221444108
0.0206,MyD88-GFP-synTRAF6-BD-3x,0.1,5,1,24,5,1,2022-11-24,36.2991699954129,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,29.9556257243699,3935.57681885554,0.00761149562139176,0.0065667805361027
0.0731,MyD88-GFP-synTRAF6-BD-3x,1,5,1,24,5,1,2022-11-24,128.80919061479,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,122.465646343747,3935.57681885554,0.0311175850403957,0.0277744967674707
0.1229,MyD88-GFP-synTRAF6-BD-3x,10,5,1,24,5,1,2022-11-24,216.561553030886,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,210.218008759843,3935.57681885554,0.0534147898607081,0.054563976454526
0.1399,MyD88-GFP-synTRAF6-BD-3x,100,5,1,24,5,1,2022-11-24,246.517178755255,TRUE,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#E1489B,18,6.34354427104303,240.173634484212,3935.57681885554,0.0610262854820998,0.0632052626599885
0.0066,MyD88-GFP-synTRAF6-BD-5x,0,5,1,24,5,1,2022-11-24,11.6298311635789,TRUE,cl262 cl263,CHARMS-sT6BM-5x,SAMPLE,,#E09495,19,6.34354427104303,5.28628689253586,3935.57681885554,0.00134320510965737,0.00131335610722054
0.0076,MyD88-GFP-synTRAF6-BD-5x,1e-04,5,1,24,5,1,2022-11-24,13.3919267944242,TRUE,cl262 cl263,CHARMS-sT6BM-5x,SAMPLE,,#E09495,19,6.34354427104303,7.04838252338114,3935.57681885554,0.00179094014620983,0.00120888459869163
0.0071,MyD88-GFP-synTRAF6-BD-5x,0.01,5,1,24,5,1,2022-11-24,12.5108789790015,TRUE,cl262 cl263,CHARMS-sT6BM-5x,SAMPLE,,#E09495,19,6.34354427104303,6.1673347079585,3935.57681885554,0.0015670726279336,0.00122380909991005
