MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0098,10xTA,STIM,10,1,24,5,1,2024-01-31,105.845899589593,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,-10.3840699521295,17295.780533013,0,0.0014731392229892
0.0128,10xTA,STIM,10,1,24,5,1,2024-01-31,138.247705586407,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,22.0177360446847,17295.780533013,0.00127301199287646,0.0014731392229892
0.0158,10xTA,STIM,10,1,24,5,1,2024-01-31,170.649511583221,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,54.4195420414989,17295.780533013,0.00314640567609116,0.0014731392229892
0.0077,10xTA,UNSTIM,10,1,24,5,1,2024-01-31,83.1646353918231,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,-33.0653341498995,17295.780533013,0,0
0.0078,10xTA,UNSTIM,10,1,24,5,1,2024-01-31,84.2446955917169,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,-31.9852739500057,17295.780533013,0,0
0.0077,10xTA,UNSTIM,10,1,24,5,1,2024-01-31,83.1646353918231,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,-33.0653341498995,17295.780533013,0,0
0.0124,12xTA,STIM,10,1,24,5,1,2024-01-31,133.927464786832,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,17.6974952451095,17295.780533013,0.00102322616844783,0.000341075389482611
0.008,12xTA,STIM,10,1,24,5,1,2024-01-31,86.4048159915045,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,-29.825153550218,17295.780533013,0,0.000341075389482611
0.0089,12xTA,STIM,10,1,24,5,1,2024-01-31,96.1253577905488,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,-20.1046117511738,17295.780533013,0,0.000341075389482611
0.0055,12xTA,UNSTIM,10,1,24,5,1,2024-01-31,59.4033109941594,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,-56.8266585475632,17295.780533013,0,0.00161081999699479
0.0185,12xTA,UNSTIM,10,1,24,5,1,2024-01-31,199.811136980354,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,83.5811674386316,17295.780533013,0.00483245999098438,0.00161081999699479
0.0071,12xTA,UNSTIM,10,1,24,5,1,2024-01-31,76.6842741924603,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,-39.5456953492623,17295.780533013,0,0.00161081999699479
0.973,15xTA,STIM,10,1,24,5,1,2024-01-31,10508.9857449667,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,116.229969541723,10392.755775425,17295.780533013,0.600883883533794,0.200294627844598
