MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.0098,10xTA,STIM,10,1,24,5,1,2024-01-31,105.845899589593,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,116.229969541723,-10.3840699521295,17295.780533013,0,0.0014731392229892
0.0077,10xTA,UNSTIM,10,1,24,5,1,2024-01-31,83.1646353918231,FALSE,cl408,CHARMS-10xTA,SAMPLE,,gray50,23,116.229969541723,-33.0653341498995,17295.780533013,0,0
0.0124,12xTA,STIM,10,1,24,5,1,2024-01-31,133.927464786832,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,116.229969541723,17.6974952451095,17295.780533013,0.00102322616844783,0.000341075389482611
0.0055,12xTA,UNSTIM,10,1,24,5,1,2024-01-31,59.4033109941594,FALSE,cl406,CHARMS-12xTA,SAMPLE,,gray50,24,116.229969541723,-56.8266585475632,17295.780533013,0,0.00161081999699479
0.973,15xTA,STIM,10,1,24,5,1,2024-01-31,10508.9857449667,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,116.229969541723,10392.755775425,17295.780533013,0.600883883533794,0.200294627844598
0.01,15xTA,UNSTIM,10,1,24,5,1,2024-01-31,108.006019989381,FALSE,cl407,CHARMS-15xTA,SAMPLE,,gray50,25,116.229969541723,-8.22394955234191,17295.780533013,0,0
0.0101,BASS1_66306,STIM,10,1,24,5,1,2024-01-31,109.086080189274,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,#A6529A,26,116.229969541723,-7.14388935244811,17295.780533013,0,0
0.0298,BASS1_66306,UNSTIM,10,1,24,5,1,2024-01-31,321.857939568354,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,gray50,26,116.229969541723,205.627970026632,17295.780533013,0.0118889095310931,0.00903718803553292
0.011,BASS1_66307,STIM,10,1,24,5,1,2024-01-31,118.806621988319,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,116.229969541723,2.57665244659616,17295.780533013,0.00014897578294764,4.965859431588e-05
0.0069,BASS1_66307,UNSTIM,10,1,24,5,1,2024-01-31,74.5241537926727,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,gray50,27,116.229969541723,-41.7058157490499,17295.780533013,0,0.0573755053006856
1.6554,cl069,STIM,10,1,24,5,1,2024-01-31,17879.3165490421,FALSE,cl069,cl069,CONTROL,,salmon,2,116.229969541723,17763.0865795004,17295.780533013,1.02701850000903,1
0.0415,cl069,UNSTIM,10,1,24,5,1,2024-01-31,448.22498295593,FALSE,cl069,cl069,CONTROL,,gray50,2,116.229969541723,331.995013414207,17295.780533013,0.0191951448956304,0.0267927970553344
0.0088,cl204,STIM,10,1,24,5,2,2024-01-31,89.3295835779178,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,116.229969541723,-26.9003859638048,17295.780533013,0,0
0.0097,cl204,UNSTIM,10,1,24,5,2,2024-01-31,98.4655637165685,FALSE,cl204,tKO_EL4,CONTROL,,gray50,4,116.229969541723,-17.7644058251541,17295.780533013,0,0.000513547387793418
