CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,PLOTTING_COLOR,ORDER_NO,triplicate_sd_per_day,triplicate_mean_per_day
10xTA,CHARMS-10xTA,STIM,2024-02-12,#A6529A,23,,0.0155524457731696
10xTA,CHARMS-10xTA,UNSTIM,2024-02-12,gray50,23,,0.0171824311430571
12xTA,CHARMS-12xTA,STIM,2024-02-12,#A6529A,24,,0.0115450671076904
12xTA,CHARMS-12xTA,UNSTIM,2024-02-12,gray50,24,,0.00846797277526875
15xTA,CHARMS-15xTA,STIM,2024-02-12,#A6529A,25,,0.046196170727053
15xTA,CHARMS-15xTA,UNSTIM,2024-02-12,gray50,25,,0.00865084918262197
BASS1_66306,CHARMS-BASS1_66306,STIM,2024-02-12,#A6529A,26,,0.0101536161821767
BASS1_66306,CHARMS-BASS1_66306,UNSTIM,2024-02-12,gray50,26,,0.00946186629349278
BASS1_66307,CHARMS-BASS1_66307,STIM,2024-02-12,#A6529A,27,,0.00914382036766109
BASS1_66307,CHARMS-BASS1_66307,UNSTIM,2024-02-12,gray50,27,,0.00923128299726481
Cl204,tKO_EL4,STIM,2024-02-12,#37aabd,4,,0.000930284333057693
Cl204,tKO_EL4,UNSTIM,2024-02-12,gray50,4,,0.000243835209804296
Cl69,cl069,STIM,2024-02-12,salmon,2,,1
Cl69,cl069,UNSTIM,2024-02-12,gray50,2,,0.0269782456586731
