ID,col,construct,cell line no,pMJTL,Conc. [ng/µL],Conc. [µg/µL],Volume needed (need 6.3 total µg plasmid DNA + 2.1 µg Plasmid),NOTE,260/280,Transduction Date,Transfection Date,FACS Date,FACS Yield,FROZEN DATE,TIRF LCI DATE #1,TIRF LCI DATE #2,TIRF LCI DATE #3,TIRF RelA DATE,ELISA #1 DATE,ELISA #2 DATE,ELISA #3 DATE,ELISA #4 DATE,ELISA #5 DATE,ELISA #6 DATE,ELISA ASSAY DATE,ELISA ASSAY DATE 2,FRAP DATE,STATUS,NAME_2
BDLD_27,B,pHRdSV_BDLD_27_TIR_IRAK1_t6bd_GFP,cl310,pMJTL696,205.7,0.2057,10.2090422946,,,20230330,20230401,20230405,35.000,20230424,20230519,20230602,,20230426,20230418,20230426,20230428,,,,20230429,,,,BDLD_27
BDLD_27,B,pHRdSV_BDLD_27_TIR_IRAK1_t6bd_GFP,cl311,pMJTL696,205.7,0.2057,10.2090422946,,,20230330,20230401,20230405,4000,20230414,20230519,20230602,,20230510,20230505,20230507,20230510,20230526,20230528,,20230512,,,,BDLD_27
BDLD_50,C,pHRdSV_BDLD_50_TIR_IRAK1_t6bd_GFP,cl312,pMJTL699,339.2,0.3392,6.1910377358,,,20230330,20230401,20230405,5700,20230425,20230519,,,20230426,20230418,20230426,20230428,,,,20230429,,,,BDLD_50
BDLD_50,C,pHRdSV_BDLD_50_TIR_IRAK1_t6bd_GFP,cl313,pMJTL699,339.2,0.3392,6.1910377358,,,20230330,20230401,20230405,500,20230414,20230519,,,20230510,20230505,20230507,20230510,20230526,20230528,,20230512,,,,BDLD_50
BDLD_14,B,pHRdSV_BDLD_14_TIR_IRAK1_t6bd_GFP,cl314,pMJTL691,278.6,0.2786,7.5376884422,,,20230330,20230401,20230405,47.000,20230424,20230519,20230519,,20230510,20230418,20230426,20230428,,,,20230429,,,,BDLD_14
BDLD_14,B,pHRdSV_BDLD_14_TIR_IRAK1_t6bd_GFP,cl315,pMJTL691,278.6,0.2786,7.5376884422,,,20230330,20230401,20230405,2000,20230418,20230519,20230519,,20230510,20230505,20230507,20230510,20230526,20230528,,20230512,,,,BDLD_14
psPAX2 (packaging DNA),-,-,-,,-,3.315,0.6334841629,batch fr/ Niranjan,-,20230330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,3.429,0.6124234471,batch fr/ Niranjan,-,20230330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_13,A,pHRdSV_BDLD_13_TIR_IRAK1_t6bd_GFP,cl319,pMJTL690,344.3,0.3443,6.0993319779,,,20230505,20230508,20230514,70.000,20230529,20230602,,,,20230526,20230428,,,,,20230429,,,,BDLD_13
psPAX2 (packaging DNA),-,-,-,,-,1.3763,1.5258301242,new batch fr/ Paulina,-,20230505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,psPAX2 (packaging DNA)
pMD2.G (envelope DNA),-,-,-,,-,1.5568,1.3489208633,new batch fr/ Paulina,-,20230505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,pMD2.G (envelope DNA)
BDLD_73,A,pHRdSV_BDLD_73_TIR_IRAK1_t6bd_GFP,cl323,pMJTL705,358.6,0.3586,5.8561070831,,,20230514,20230516,20230523,3500,20230609,20230616,20230619,,,20230620,20230622,20230627,,,,20230704,,,,BDLD_73
BDLD_2,A,pHRdSV_BDLD_2_TIR_IRAK1_t6bd_GFP,cl322,pMJTL685,423.96,0.42396,4.9532974809,,,20230514,20230516,20230523,6500,20230606,20230616,,,,20230614,20230616,20230618,,,,20230621,,,,BDLD_2
