ID,cell line no,Transduction Date,Transfection Date,FACS Date,FACS Yield,FROZEN DATE,TIRF LCI DATE #1,TIRF LCI DATE #2,TIRF LCI DATE #3,TIRF RelA DATE,ELISA #1 DATE,ELISA #2 DATE,ELISA #3  DATE,ELISA ASSAY  DATE,STATUS
BDLD_27,"cl310
cl311",20230330,20230401,20230405,"H=4000
E=35.000","20230414
20230424",20230519,20230602,-------------,"20230426 E
20230510 H",20230418,20230526,20230528,20230529,NOT A CANDIDATE
BDLD_50,"cl312
cl313",20230330,20230401,20230405,"H=500
E=5700","20230414
20230425",20230519,-------------,-------------,"20230426 E
20230510 H",20230418,20230526,20230528,20230529,NOT A CANDIDATE
BDLD_46,-------------,20230330,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
BDLD_14,"cl314
cl315",20230330,20230401,20230405,"H=2000
E=47.000","20230418
20230424",20230519,-------------,-------------,20230510,20230418,20230526,20230528,20230529,NOT A CANDIDATE
BDLD_13,cl319,20230505,20230508,20230514,H=70.000,20230529,20230602,,,,20230526,20230528,-------------,20230529,NOT A CANDIDATE
BDLD_73,cl323,20230514,20230516,20230523,H=3500,20230609,20230614,,,,,,,,
BDLD_2,cl322,20230514,20230516,20230523,H=6500,20230606,20230614,,,,,,,,
BDLD_10,cl320,20230514,20230516,20230523,H=50.000,20230529,20230602,,,-------------,20230605,20230609,,,NOT A CANDIDATE
BDLD_62,cl318,20230514,20230516,20230523,H=360.000,20230526,20230602,20230614,,20230609,20230605,20230609,,,CANDIDATE
BDLD_46,cl324,20230523,20230526,20230601,low,20230609,20230614,,,,,,,,
BDLD_57,cl321,20230523,20230526,20230601,low,20230609,20230602,20230614,,20230609,,,,,CANDIDATE
BDLD_7,cl325,20230523,20230526,20230601,low,20230609,20230614,,,,,,,,
BDLD_69,cl326,20230523,20230526,20230601,low,20230609,20230616,,,,,,,,
BDLD_67,cl327,20230601,20230604,20230612,H=8.5E5,20230615,20230616,,,,,,,,
BDLD_58,C,20230601,20230604,contaminated,contaminated,contaminated,C,C,C,C,C,C,C,C,C
BDLD_16,C,20230601,20230604,contaminated,contaminated,contaminated,C,C,C,C,C,C,C,C,C
BDLD_11,C,20230601,20230604,contaminated,contaminated,contaminated,C,C,C,C,C,C,C,C,C
BDLD_6,,20230609,20230611,20230615,,,,,,,,,,,
BDLD_22,,20230609,20230611,20230615,,,,,,,,,,,
BDLD_23,,20230609,20230611,20230615,,,,,,,,,,,
BDLD_24,,20230609,20230611,20230615,,,,,,,,,,,
