MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.3682,WT_EL4,STIM,5,1,24,5,1,2022-06-09,3827.01763384315,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,34.5910330399018,3792.42660080325,3577.0484705548,1.06021112993614,1
1.314,3E10_GFP,STIM,5,1,24,5,1,2022-06-09,3675.41380709684,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,34.5910330399018,3640.82277405694,3577.0484705548,1.01782875016291,0.991528737130197
0.0136,204_TRIPLE_KO,STIM,5,1,24,5,1,2022-06-09,38.0408126153098,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,34.5910330399018,3.44977957540799,3577.0484705548,0.000964420695946825,0.00789782353707807
0.1271,170_MYD88_KO,STIM,5,1,24,5,1,2022-06-09,355.513770838667,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,34.5910330399018,320.922737798765,3577.0484705548,0.0897171901472697,0.0845041053043138
1.0551,WT_EL4,STIM,5,2,24,5,1,2022-06-09,2951.23980811863,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,19.9527791658733,2931.28702895275,2782.20060892364,1.05358579088472,1
0.7288,3E10_GFP,STIM,5,2,24,5,1,2022-06-09,2038.54001720866,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,19.9527791658733,2018.58723804279,2782.20060892364,0.725536193029491,0.691085790884719
0.0041,204_TRIPLE_KO,STIM,5,2,24,5,1,2022-06-09,11.468186156086,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,19.9527791658733,-8.48459300978723,2782.20060892364,0,0.000491510277033065
0.1427,170_MYD88_KO,STIM,5,2,24,5,1,2022-06-09,399.148820603287,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,19.9527791658733,379.196041437414,2782.20060892364,0.136293565683646,0.135891420911528
0.0894,WT_EL4,UNSTIM,5,1,24,5,1,2022-06-09,250.062400574169,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,34.5910330399018,215.471367534267,3577.0484705548,0.0602371953603545,0.0590381858464747
0.1852,3E10_GFP,UNSTIM,5,1,24,5,1,2022-06-09,518.02636002613,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,34.5910330399018,483.435326986228,3577.0484705548,0.13514922455363,0.143724749120292
0.0123,204_TRIPLE_KO,UNSTIM,5,1,24,5,1,2022-06-09,34.4045584682581,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,34.5910330399018,-0.186474571643679,3577.0484705548,0,0.000425735262174725
0.11,170_MYD88_KO,UNSTIM,5,1,24,5,1,2022-06-09,307.683043212064,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,34.5910330399018,273.092010172162,3577.0484705548,0.076345627525088,0.0784569268864851
0.037,WT_EL4,UNSTIM,5,2,24,5,1,2022-06-09,103.49338726224,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,19.9527791658733,83.5406080963665,2782.20060892364,0.0300268096514745,0.0338471849865952
0.0539,3E10_GFP,UNSTIM,5,2,24,5,1,2022-06-09,150.764691173912,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,19.9527791658733,130.811912008038,2782.20060892364,0.0470174262734585,0.0487935656836461
