CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,PLOTTING_COLOR,ORDER_NO,triplicate_sd_per_day,triplicate_mean_per_day
10xTA,CHARMS-10xTA,STIM,2024-02-08,#A6529A,23,,0.0463529411764706
10xTA,CHARMS-10xTA,UNSTIM,2024-02-08,gray50,23,,0.0498823529411765
12xTA,CHARMS-12xTA,STIM,2024-02-08,#A6529A,24,,0.0182352941176471
12xTA,CHARMS-12xTA,UNSTIM,2024-02-08,gray50,24,,0.0175294117647059
15xTA,CHARMS-15xTA,STIM,2024-02-08,#A6529A,25,,0.0277058823529412
15xTA,CHARMS-15xTA,UNSTIM,2024-02-08,gray50,25,,0.0165882352941176
BASS1_66306,CHARMS-BASS1_66306,STIM,2024-02-08,#A6529A,26,,0.01
BASS1_66306,CHARMS-BASS1_66306,UNSTIM,2024-02-08,gray50,26,,0.00752941176470588
BASS1_66307,CHARMS-BASS1_66307,STIM,2024-02-08,#A6529A,27,,0.017
BASS1_66307,CHARMS-BASS1_66307,UNSTIM,2024-02-08,gray50,27,,0.0127058823529412
cl069,cl069,STIM,2024-02-08,salmon,2,,1
cl069,cl069,UNSTIM,2024-02-08,gray50,2,,0.0458823529411765
cl204,tKO_EL4,STIM,2024-02-08,#37aabd,4,,0.000235294117647059
cl204,tKO_EL4,UNSTIM,2024-02-08,gray50,4,,0.000705882352941177
