MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
0.973,15xTA,STIM,10,1,24,5,1,2024-01-31,10508.9857449667,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,7972.39777795211,15047.3321173565,0.529821347450441,0.0883035579084068
0.0105,15xTA,STIM,10,1,24,5,1,2024-01-31,113.40632098885,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2423.18164602577,15047.3321173565,0,0.0883035579084068
0.0088,15xTA,STIM,10,1,24,5,1,2024-01-31,95.045297590655,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2441.54266942397,15047.3321173565,0,0.0883035579084068
0.01,15xTA,UNSTIM,10,1,24,5,1,2024-01-31,108.006019989381,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2428.58194702524,15047.3321173565,0,0
0.0053,15xTA,UNSTIM,10,1,24,5,1,2024-01-31,57.2431905943718,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2479.34477642025,15047.3321173565,0,0
0.004,15xTA,UNSTIM,10,1,24,5,1,2024-01-31,43.2024079957523,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,2536.58796701462,-2493.38555901887,15047.3321173565,0,0
1.6554,cl069,STIM,10,1,24,5,1,2024-01-31,17879.3165490421,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,15342.7285820274,15047.3321173565,1.01963115204523,1
1.5476,cl069,STIM,10,1,24,5,1,2024-01-31,16715.0116535566,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,14178.4236865419,15047.3321173565,0.942254984203325,1
1.6334,cl069,STIM,10,1,24,5,1,2024-01-31,17641.7033050654,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,15105.1153380508,15047.3321173565,1.00384009738362,1
0.0415,cl069,UNSTIM,10,1,24,5,1,2024-01-31,448.22498295593,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-2088.36298405869,15047.3321173565,0,0
0.0828,cl069,UNSTIM,10,1,24,5,1,2024-01-31,894.289845512072,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-1642.29812150255,15047.3321173565,0,0
0.0367,cl069,UNSTIM,10,1,24,5,1,2024-01-31,396.382093361027,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-2140.2058736536,15047.3321173565,0,0
1.6145,cl069,STIM,10,1,24,100,1,2024-01-31,17437.5719272855,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,14900.9839602709,15047.3321173565,0.990274145878869,1
1.6305,cl069,STIM,10,1,24,100,1,2024-01-31,17610.3815592685,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,15073.7935922539,15047.3321173565,1.00175854926913,1
1.6869,cl069,STIM,10,1,24,100,1,2024-01-31,18219.5355120086,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,15682.947544994,15047.3321173565,1.04224107121982,1
0.1144,cl069,UNSTIM,10,1,24,100,1,2024-01-31,1235.58886867852,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-1300.99909833611,15047.3321173565,0,0
0.0467,cl069,UNSTIM,10,1,24,100,1,2024-01-31,504.388113350408,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-2032.19985366422,15047.3321173565,0,0
0.0372,cl069,UNSTIM,10,1,24,100,1,2024-01-31,401.782394360496,FALSE,cl069,cl069,CONTROL,,salmon,2,2536.58796701462,-2134.80557265413,15047.3321173565,0,0
0.233,15xTA,STIM,2,1,48,100,1,2024-02-08,501.793927712789,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,439.338889499609,9009.67766775302,0.0487629974901398,0.04135293414605
1.247,cl069,STIM,10,1,48,100,1,2024-02-08,13427.8332158337,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,13365.3781776205,9009.67766775302,1.48344687462651,1
0.049,cl204,STIM,2,1,48,100,1,2024-02-08,105.5274783602,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,43.0724401470205,9009.67766775302,0.00478068602844508,0.0013146886578224
0.2,15xTA,STIM,2,1,48,100,1,2024-02-08,430.724401470205,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,368.269363257025,9009.67766775302,0.0408748655432055,0.04135293414605
1.122,cl069,STIM,10,1,48,100,1,2024-02-08,12081.8194612393,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,12019.3644230261,9009.67766775302,1.3340504362376,1
0.039,cl204,STIM,2,1,48,100,1,2024-02-08,83.99125828669,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,21.5362200735103,9009.67766775302,0.00239034301422254,0.0013146886578224
0.173,15xTA,STIM,2,1,48,100,1,2024-02-08,372.576607271727,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,310.121569058548,9009.67766775302,0.0344209394048046,0.04135293414605
1.058,cl069,STIM,10,1,48,100,1,2024-02-08,11392.6604188869,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,11330.2053806737,9009.67766775302,1.25755945978248,1
0.032,cl204,STIM,2,1,48,100,1,2024-02-08,68.9159042352328,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,6.46086602205308,9009.67766775302,0.000717102904266763,0.0013146886578224
0.128,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,275.663616940931,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,62.4550382131798,213.208578727752,9009.67766775302,0.0236643958408032,0.0262937731564479
0.052,cl069,UNSTIM,10,1,48,100,1,2024-02-08,559.941721911267,FALSE,cl069,cl069,CONTROL,,salmon,2,62.4550382131798,497.486683698087,9009.67766775302,0.0552169236285407,0.0430660133062428
0.033,cl204,UNSTIM,2,1,48,100,1,2024-02-08,71.0695262425839,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,62.4550382131798,8.6144880294041,9009.67766775302,0.000956137205689016,0.00191227441137803
