CELL_LINE,CL_NAME_ON_PLOT,CONDITION,Date,triplicate_sd_per_day,triplicate_mean_per_day
15xTA,CHARMS-15xTA,STIM,2024-01-31,,0.0883035579084068
15xTA,CHARMS-15xTA,STIM,2024-02-08,,0.04135293414605
15xTA,CHARMS-15xTA,STIM,2024-02-12,,0.046196170727053
15xTA,CHARMS-15xTA,UNSTIM,2024-01-31,,0
15xTA,CHARMS-15xTA,UNSTIM,2024-02-08,,0.0262937731564479
15xTA,CHARMS-15xTA,UNSTIM,2024-02-12,,0.00865084918262197
Cl204,tKO_EL4,STIM,2024-02-12,,0.000930284333057693
Cl204,tKO_EL4,UNSTIM,2024-02-12,,0.000243835209804296
Cl69,cl069,STIM,2024-02-12,,1
Cl69,cl069,UNSTIM,2024-02-12,,0.0269782456586731
cl069,cl069,STIM,2024-01-31,,1
cl069,cl069,STIM,2024-02-08,,1
cl069,cl069,UNSTIM,2024-01-31,,0
cl069,cl069,UNSTIM,2024-02-08,,0.0430660133062428
cl204,tKO_EL4,STIM,2024-01-31,,0
cl204,tKO_EL4,STIM,2024-02-08,,0.0013146886578224
cl204,tKO_EL4,UNSTIM,2024-01-31,,0.128919950622928
cl204,tKO_EL4,UNSTIM,2024-02-08,,0.00191227441137803
