MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.6145,cl069,STIM,10,1,24,100,1,2024-01-31,17437.5719272855,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17167.2145891084,17485.4723280104,0.981798733661188,1
0.1144,cl069,UNSTIM,10,1,24,100,1,2024-01-31,1235.58886867852,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,965.231530501408,17485.4723280104,0.0552019134739173,0.025367484825797
0.233,15xTA,STIM,2,1,48,100,1,2024-02-08,501.793927712789,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,404.880937381993,12203.8580416558,0.0331764705882353,0.0277058823529412
1.247,cl069,STIM,10,1,48,100,1,2024-02-08,13427.8332158337,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,13330.9202255029,12203.8580416558,1.09235294117647,1
0.049,cl204,STIM,2,1,48,100,1,2024-02-08,105.5274783602,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,8.6144880294041,12203.8580416558,0.000705882352941176,0.000235294117647059
0.128,15xTA,UNSTIM,2,1,48,100,1,2024-02-08,275.663616940931,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,96.9129903307962,178.750626610135,12203.8580416558,0.0146470588235294,0.0165882352941176
0.052,cl069,UNSTIM,10,1,48,100,1,2024-02-08,559.941721911267,FALSE,cl069,cl069,CONTROL,,salmon,2,96.9129903307962,463.028731580471,12203.8580416558,0.0379411764705882,0.0458823529411765
0.033,cl204,UNSTIM,2,1,48,100,1,2024-02-08,71.0695262425839,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,96.9129903307962,-25.8434640882123,12203.8580416558,0,0.000705882352941177
0.239,15xTA,STIM,2,1,48,100,1,2024-02-12,315.274272046076,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,287.264549411021,5530.18335379232,0.0519448508364608,0.046196170727053
0.0455,15xTA,UNSTIM,2,1,48,100,1,2024-02-12,60.0208342179769,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,28.0097226350559,32.011111582921,5530.18335379232,0.00578843585013676,0.00865084918262197
0.9429,Cl69,STIM,10,1,48,100,1,2024-02-12,6219.08182243191,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,6191.07209979686,5530.18335379232,1.11950575663126,1
0.0282,Cl69,UNSTIM,10,1,48,100,1,2024-02-12,185.998629115049,FALSE,cl069,cl069,CONTROL,,salmon,2,28.0097226350559,157.988906479993,5530.18335379232,0.0285684752878316,0.0269782456586731
0.0263,Cl204,STIM,2,1,48,100,1,2024-02-12,34.6933613172042,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,6.68363868214834,5530.18335379232,0.00120857451816042,0.000930284333057693
0.0205,Cl204,UNSTIM,2,1,48,100,1,2024-02-12,27.0423538784292,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,28.0097226350559,-0.967368756626733,5530.18335379232,0,0.000243835209804296
0.0219,15xTA,STIM,10,1,24,100,2,2024-01-31,222.3088500405,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-48.0484881366073,17485.4723280104,0,0
0.0106,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,107.601543855219,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-162.755794321888,17485.4723280104,0,0
0.0082,cl204,STIM,10,1,24,100,2,2024-01-31,83.2389301521507,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-187.118408024957,17485.4723280104,0,0
0.0351,cl204,UNSTIM,10,1,24,100,2,2024-01-31,356.303225407377,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,85.9458872302694,17485.4723280104,0.00491527398391122,0.00275435956841219
