CELL_LINE,CL_NAME_ON_PLOT,CONDITION,PLOTTING_COLOR,triplicate_sd_per_day,triplicate_mean_per_day
MyD88-GFP,MyD88-GFP,0,salmon,0.00534471188014695,0.0113611953039033
MyD88-GFP,MyD88-GFP,1e-04,salmon,0.00225679769126181,0.0111908210222269
MyD88-GFP,MyD88-GFP,0.01,salmon,0.00408311402293404,0.00953292756024788
MyD88-GFP,MyD88-GFP,0.1,salmon,0.0111027287077622,0.0178159599091543
MyD88-GFP,MyD88-GFP,1,salmon,0.0212577814977281,0.0686001163075941
MyD88-GFP,MyD88-GFP,10,salmon,0.0340798012342911,0.215823084940891
MyD88-GFP,MyD88-GFP,100,salmon,0.0385123069366405,0.251541712340588
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,0,#00DAE0,0.00302532724268575,0.00412900060052524
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,1e-04,#00DAE0,0.00173610172902152,0.00312683913572239
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,0.01,#00DAE0,0.0020921543722751,0.00939542420006881
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,0.1,#00DAE0,0.0052355169671029,0.0162981674635289
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,1,#00DAE0,0.0012859185539189,0.0189029573420583
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,10,#00DAE0,0.00561153545080446,0.0228896873925547
MyD88-GFP-synTRAF6-BD-1x,CHARMS-sT6BM-1x,100,#00DAE0,0.00414702874712474,0.023849224422859
MyD88-GFP-synTRAF6-BD-1xA,CHARMS-sT6BM-1xA,,#446AE1,0.00330769481185548,0.00719804706430514
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,0,#E1489B,0.00072250386303609,0.00237643706540781
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,1e-04,#E1489B,0.000983642373326032,0.00163932718158762
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,0.01,#E1489B,0.00057001686857819,0.00224254795975016
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,0.1,#E1489B,0.000210491465228393,0.00646613542526961
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,1,#E1489B,0.00194017849589589,0.0270545160221983
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,10,#E1489B,0.00351386264343115,0.0585005065801349
MyD88-GFP-synTRAF6-BD-3x,CHARMS-sT6BM-3x,100,#E1489B,0.00296319401513932,0.0667809820586628
MyD88-GFP-synTRAF6-BD-3xA,CHARMS-sT6BM-3xA,,#63F2C3,0.00220657294013356,0.00920424968283502
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,0,#E09495,0.000267122319041911,0.00158284158249587
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,1e-04,#E09495,0.0009256594763697,0.00120740738849557
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,0.01,#E09495,0.00218497942307607,0.00229051121094991
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,0.1,#E09495,0.00105564154762536,0.00801240525548173
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,1,#E09495,0.00707854866483316,0.0408269914092827
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,10,#E09495,0.0164556278906903,0.0822039134196051
MyD88-GFP-synTRAF6-BD-5x,CHARMS-sT6BM-5x,100,#E09495,0.0210740237684724,0.0959050078204734
MyD88-GFP-synTRAF6-BD-5xA,CHARMS-sT6BM-5xA,,#A6529A,0.00420466263046585,0.0111478662222765
WT,WT_EL4,0,#E00368,0.00642501705390749,0.00915370949486304
WT,WT_EL4,1e-04,#E00368,0.00190262176668604,0.0087237250290944
WT,WT_EL4,0.01,#E00368,0.0140052560791676,0.0705784690076559
WT,WT_EL4,0.1,#E00368,0.034294283538798,0.295014580840529
WT,WT_EL4,1,#E00368,0.0258772854506135,0.759804755481738
WT,WT_EL4,10,#E00368,0.0224853048097396,0.947606603620069
WT,WT_EL4,100,#E00368,0.00519399290614553,0.986315464154514
