MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.3682,WT_EL4,STIM,5,1,24,5,1,2022-06-09,3827.01763384315,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,34.5910330399018,3792.42660080325,3577.0484705548,1.06021112993614,1
1.314,3E10_GFP,STIM,5,1,24,5,1,2022-06-09,3675.41380709684,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,34.5910330399018,3640.82277405694,3577.0484705548,1.01782875016291,0.991528737130197
0.0136,204_TRIPLE_KO,STIM,5,1,24,5,1,2022-06-09,38.0408126153098,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,34.5910330399018,3.44977957540799,3577.0484705548,0.000964420695946825,0.00789782353707807
0.1271,170_MYD88_KO,STIM,5,1,24,5,1,2022-06-09,355.513770838667,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,34.5910330399018,320.922737798765,3577.0484705548,0.0897171901472697,0.0845041053043138
1.0551,WT_EL4,STIM,5,2,24,5,1,2022-06-09,2951.23980811863,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,19.9527791658733,2931.28702895275,2782.20060892364,1.05358579088472,1
0.7288,3E10_GFP,STIM,5,2,24,5,1,2022-06-09,2038.54001720866,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,19.9527791658733,2018.58723804279,2782.20060892364,0.725536193029491,0.691085790884719
0.0041,204_TRIPLE_KO,STIM,5,2,24,5,1,2022-06-09,11.468186156086,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,19.9527791658733,-8.48459300978723,2782.20060892364,0,0.000491510277033065
0.1427,170_MYD88_KO,STIM,5,2,24,5,1,2022-06-09,399.148820603287,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,19.9527791658733,379.196041437414,2782.20060892364,0.136293565683646,0.135891420911528
1.2688,WT_EL4,STIM,5,1,24,5,1,2022-06-09,3548.98404752243,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,34.5910330399018,3514.39301448253,3577.0484705548,0.982484034927668,1
1.2818,3E10_GFP,STIM,5,1,24,5,1,2022-06-09,3585.34658899295,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,34.5910330399018,3550.75555595304,3577.0484705548,0.992649550371432,0.991528737130197
0.0414,204_TRIPLE_KO,STIM,5,1,24,5,1,2022-06-09,115.800708990722,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,34.5910330399018,81.2096759508206,3577.0484705548,0.0227029844910726,0.00789782353707807
0.1169,170_MYD88_KO,STIM,5,1,24,5,1,2022-06-09,326.983161377185,FALSE,cl170,MYD88_KO,CONTROL,,#37aabd,4,34.5910330399018,292.392128337283,3577.0484705548,0.0817411703375472,0.0845041053043138
0.9747,WT_EL4,STIM,5,2,24,5,1,2022-06-09,2726.35147471635,FALSE,cl011,WT_EL4,CONTROL,,#E00368,1,19.9527791658733,2706.39869555048,2782.20060892364,0.972754691689008,1
0.6683,3E10_GFP,STIM,5,2,24,5,1,2022-06-09,1869.31434344202,FALSE,cl028,MyD88-GFP,CONTROL,,salmon,3,19.9527791658733,1849.36156427615,2782.20060892364,0.664711796246649,0.691085790884719
