MEASUREMENT,CELL_LINE,CONDITION,DILUTION,STIM_DAY,STIM_TIME,STIM_CONCENTRATION,Plate,Date,Concentration,Is_Dose_Response,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO,baseline_control_value,Concentration_REDUCED,control_mean_MEASUREMENT,Concentration_NORMALIZED,triplicate_mean_per_day
1.6145,cl069,STIM,10,1,24,100,1,2024-01-31,17437.5719272855,FALSE,cl069,cl069,CONTROL,,salmon,2,270.357338177107,17167.2145891084,17485.4723280104,0.981798733661188,1
0.1144,cl069,UNSTIM,10,1,24,100,1,2024-01-31,1235.58886867852,FALSE,cl069,cl069,CONTROL,,gray50,2,270.357338177107,965.231530501408,17485.4723280104,0.0552019134739173,0.025367484825797
0.0198,10xTA,STIM,10,1,24,100,2,2024-01-31,200.991563050315,FALSE,cl408,CHARMS-10xTA,SAMPLE,,#A6529A,23,270.357338177107,-69.3657751267922,17485.4723280104,0,0
0.0162,10xTA,UNSTIM,10,1,24,100,2,2024-01-31,164.447642495712,FALSE,cl408,CHARMS-10xTA,SAMPLE,,gray50,23,270.357338177107,-105.909695681395,17485.4723280104,0,0
0.0177,12xTA,STIM,10,1,24,100,2,2024-01-31,179.67427606013,FALSE,cl406,CHARMS-12xTA,SAMPLE,,#A6529A,24,270.357338177107,-90.6830621169772,17485.4723280104,0,0.000574093680535563
0.0119,12xTA,UNSTIM,10,1,24,100,2,2024-01-31,120.797959611048,FALSE,cl406,CHARMS-12xTA,SAMPLE,,gray50,24,270.357338177107,-149.559378566059,17485.4723280104,0,0
0.0219,15xTA,STIM,10,1,24,100,2,2024-01-31,222.3088500405,FALSE,cl407,CHARMS-15xTA,SAMPLE,,#A6529A,25,270.357338177107,-48.0484881366073,17485.4723280104,0,0
0.0106,15xTA,UNSTIM,10,1,24,100,2,2024-01-31,107.601543855219,FALSE,cl407,CHARMS-15xTA,SAMPLE,,gray50,25,270.357338177107,-162.755794321888,17485.4723280104,0,0
0.0213,BASS1_66306,STIM,10,1,24,100,2,2024-01-31,216.218196614733,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,#A6529A,26,270.357338177107,-54.1391415623744,17485.4723280104,0,0
0.0139,BASS1_66306,UNSTIM,10,1,24,100,2,2024-01-31,141.100137696938,FALSE,cl409,CHARMS-BASS1_66306,SAMPLE,,gray50,26,270.357338177107,-129.257200480169,17485.4723280104,0,0
0.0155,BASS1_66307,STIM,10,1,24,100,2,2024-01-31,157.341880165651,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27,270.357338177107,-113.015458011457,17485.4723280104,0,0
0.0129,BASS1_66307,UNSTIM,10,1,24,100,2,2024-01-31,130.949048653993,FALSE,cl410,CHARMS-BASS1_66307,SAMPLE,,gray50,27,270.357338177107,-139.408289523114,17485.4723280104,0,0
0.0082,cl204,STIM,10,1,24,100,2,2024-01-31,83.2389301521507,FALSE,cl204,tKO_EL4,CONTROL,,#37aabd,4,270.357338177107,-187.118408024957,17485.4723280104,0,0
0.0351,cl204,UNSTIM,10,1,24,100,2,2024-01-31,356.303225407377,FALSE,cl204,tKO_EL4,CONTROL,,gray50,4,270.357338177107,85.9458872302694,17485.4723280104,0.00491527398391122,0.00275435956841219
