CELL_LINE,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,ORDER_NO
EL4,cl011,WT_EL4,CONTROL,,#E00368,1
WT,cl011,WT_EL4,CONTROL,,#E00368,1
WT_EL4,cl011,WT_EL4,CONTROL,,#E00368,1
wt_Mph,cl420,MΦ-WT,CONTROL,,#E00368,1
wt,cl420,MΦ-WT,CONTROL,differentiated from cl354,#E00368,1
69.0,cl069,cl069,CONTROL,,salmon,2
69,cl069,cl069,CONTROL,,salmon,2
cl069,cl069,cl069,CONTROL,,salmon,2
Cl69,cl069,cl069,CONTROL,,salmon,2
3E_10,cl028,3E+10,CONTROL,,salmon,3
3E 10,cl028,3E+10,CONTROL,,salmon,3
3E10_GFP,cl028,3E+10,CONTROL,,salmon,3
MyD88-GFP,cl028,3E+10,CONTROL,,salmon,3
cl204,cl204,3xKO,CONTROL,,#37aabd,4
Cl204,cl204,3xKO,CONTROL,,#37aabd,4
204,cl204,3xKO,CONTROL,,#37aabd,4
204_TRIPLE_KO,cl204,3xKO,CONTROL,,#37aabd,4
Twozerofour,cl204,3xKO,CONTROL,,#37aabd,4
170_MYD88_KO,cl170,MYD88_KO,CONTROL,,#37aabd,4
dKO_Mph,cl421,2xKO,CONTROL,,#37aabd,4
DKO,cl421,2xKO,CONTROL,differentiated from cl355,#37aabd,4
590_L,cl232,CHARMS,SAMPLE,,#A6529A,5
614_H,cl237,CHARMS-DHF91 (H),SAMPLE,,#A6529A,6
614_L,cl236,CHARMS-DHF91 (L),SAMPLE,,#A6529A,7
T6BD_H,cl245,CHARMS-TIR (H),SAMPLE,,#A6529A,8
T6BD_L,cl244,CHARMS-TIR (L),SAMPLE,,#A6529A,9
591_L,cl234,CHARMS-3xA,SAMPLE,,#A6529A,10
632_H,cl239,CHARMS-DHF91-3xA,SAMPLE,,#A6529A,11
631_H,cl243,CHARMS-TIR-3xA,SAMPLE,,#A6529A,12
290,cl290,CHARMS-DHF119 (L),SAMPLE,,#A6529A,13
294_2xTIR,cl294,CHARMS-2xTIR,SAMPLE,,#A6529A,14
294,cl294,CHARMS-2xTIR,SAMPLE,,#A6529A,14
TwoNinetyfour,cl294,CHARMS-2xTIR,SAMPLE,,#A6529A,14
298,cl298,CHARMS-short_linker,SAMPLE,,#A6529A,15
302,cl302,CHARMS-HA13,SAMPLE,,#A6529A,16
MyD88-GFP-synTRAF6-BD-1x,cl246,CHARMS-sT6BM-1x,SAMPLE,endogenous expression,#00DAE0,17
MyD88-GFP-synTRAF6-BD-1x,cl247,CHARMS-sT6BM-1x,SAMPLE,high expression,#00DAE0,17
MyD88-GFP-synTRAF6-BD-3x,cl254,CHARMS-sT6BM-3x,SAMPLE,endogenous expression,#E1489B,18
MyD88-GFP-synTRAF6-BD-3x,cl255,CHARMS-sT6BM-3x,SAMPLE,high expression,#E1489B,18
MyD88-GFP-synTRAF6-BD-5x,cl262,CHARMS-sT6BM-5x,SAMPLE,endogenous expression,#E09495,19
MyD88-GFP-synTRAF6-BD-5x,cl263,CHARMS-sT6BM-5x,SAMPLE,high expression,#E09495,19
MyD88-GFP-synTRAF6-BD-1xA,cl248 cl249,CHARMS-sT6BM-1xA,SAMPLE,,#446AE1,20
MyD88-GFP-synTRAF6-BD-3xA,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#63F2C3,21
MyD88-GFP-synTRAF6-BD-5xA,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#A6529A,22
10xTA_ALL,cl408,CHARMS-10xTA,SAMPLE,(any GFP expression),#A6529A,23
10xTA,cl408,CHARMS-10xTA,SAMPLE,high expression,#A6529A,23
12xTA_ALL,cl406,CHARMS-12xTA,SAMPLE,(any GFP expression),#A6529A,24
12xTA,cl425,CHARMS-12xTA,SAMPLE,high expression,#A6529A,24
15xTA_ALL,cl407,CHARMS-15xTA,SAMPLE,(any GFP expression),#A6529A,25
15xTA,cl426,CHARMS-15xTA,SAMPLE,high expression,#A6529A,25
BASS1_66306,cl409,CHARMS-BASS1_66306,SAMPLE,,#A6529A,26
BASS1_66307,cl410,CHARMS-BASS1_66307,SAMPLE,,#A6529A,27
Amy_1,cl405,CHARMS-BASS1_66307 (38-139),SAMPLE,,#A6529A,28
BDLD_2_H,cl322,CHARMS-BDLD_2,SAMPLE,,#A6529A,29
BDLD_6,cl328,CHARMS-BDLD_6,SAMPLE,,#A6529A,30
BDLD_7,cl325,CHARMS-BDLD_7,SAMPLE,,#A6529A,31
BDLD_10_H,cl319,CHARMS-RANDOM,SAMPLE,,#A6529A,32
BDLD_11,cl332,CHARMS-BDLD_11,SAMPLE,,#A6529A,33
BDLD_13_H,cl320,CHARMS-BDLD_13,SAMPLE,,#A6529A,34
BDLD_14_E,cl314,CHARMS-BDLD_14 (E),SAMPLE,,#A6529A,35
BDLD_14_H,cl315,CHARMS-BDLD_14,SAMPLE,,#A6529A,36
BDLD_16,cl335,CHARMS-BDLD_16,SAMPLE,,#A6529A,37
BDLD_27_E,cl310,CHARMS-BDLD_27 (E),SAMPLE,,#A6529A,38
BDLD_27_H,cl311,CHARMS-BDLD_27,SAMPLE,,#A6529A,39
BDLD_38,cl338,CHARMS-BDLD_38,SAMPLE,,#A6529A,40
BDLD_46,cl324,CHARMS-BDLD_46,SAMPLE,,#A6529A,41
BDLD_50_E,cl312,CHARMS-BDLD_50 (E),SAMPLE,,#A6529A,42
BDLD_50_H,cl313,CHARMS-BDLD_50,SAMPLE,,#A6529A,43
BDLD_57,cl321,CHARMS-BDLD_57,SAMPLE,,#A6529A,44
BDLD_57_H,cl321,CHARMS-BDLD_57,SAMPLE,,#A6529A,45
BDLD_58,cl333,CHARMS-BDLD_58,SAMPLE,,#A6529A,46
BDLD_62_H,cl318,CHARMS-BDLD_62,SAMPLE,,#A6529A,47
BDLD_67,cl327,CHARMS-BDLD_67,SAMPLE,,#A6529A,48
BDLD_69,cl326,CHARMS-BDLD_69,SAMPLE,,#A6529A,49
