Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_000001405.29	GRCh38.p14	Homo sapiens								3099734149	Chromosome	2022-02-03		57879411	67794873								Genome Reference Consortium	PRJNA31257								
GCF_000001405.40	GRCh38.p14	Homo sapiens							GCF_000001405.40-RS_2023_10	3099441038	Chromosome	2022-02-03		57879411	67794873	0.99187225	0.9846154	0.007256894	0.0015239477	0.0066037737	primates_odb10		Genome Reference Consortium	PRJNA31257		59652	20080	17001				
GCA_000001635.9	GRCm39	Mus musculus		C57BL/6J						2728206152	Chromosome	2020-06-24		59462871	106145001								Genome Reference Consortium	PRJNA20689								
GCF_000001635.27	GRCm39	Mus musculus		C57BL/6J					GCF_000001635.27-RS_2024_02	2728206152	Chromosome	2020-06-24		59462871	106145001	0.9946369	0.98594	0.008696913	0.001594434	0.0037686622	glires_odb10		Genome Reference Consortium	PRJNA20689		50763	22198	10363				
GCA_001007935.1	ASM100793v1	Nitrosomonas communis		Nm2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4067838	Complete Genome	2015-05-15		4067838	4067838							PacBio	University of Alberta	PRJNA282404	SAMN03569272	3697	3189	463	assembly from type material	Nitrosomonas	94.86	5.3
GCF_001007935.1	ASM100793v1	Nitrosomonas communis		Nm2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4067838	Complete Genome	2015-05-15		4067838	4067838							PacBio	University of Alberta	PRJNA282404	SAMN03569272	3871	3693	130	assembly from type material	Nitrosomonas	94.86	5.3
GCA_000024725.1	ASM2472v1	Nitrosococcus halophilus Nc 4		Nc 4					Annotation submitted by US DOE Joint Genome Institute	4145260	Complete Genome	2010-03-26		4079427	4079427								US DOE Joint Genome Institute	PRJNA36589	SAMN02598510	4087	3817	215	assembly from type material	Nitrosococcus	97.72	1.29
GCF_000024725.1	ASM2472v1	Nitrosococcus halophilus Nc 4		Nc 4					GCF_000024725.1-RS_2024_03_28	4145260	Complete Genome	2010-03-26		4079427	4079427								US DOE Joint Genome Institute	PRJNA36589	SAMN02598510	3963	3846	63	assembly from type material	Nitrosococcus	97.72	1.29
GCA_002356035.1	ASM235603v1	Nocardia seriolae		UTF1					Annotation submitted by Research Center for Bioinformatics and Biosciences, National Research Institute of Fisheries Science, Japan Fisheries Research and Education Agency	8121733	Complete Genome	2016-12-01		8121733	8121733							PacBio RS	Research Center for Bioinformatics and Biosciences, National Research Institute of Fisheries Science, Japan Fisheries Research and Education Agency	PRJDB5277	SAMD00066002	7607	7533			Nocardia	95.58	5.01
GCF_002356035.1	ASM235603v1	Nocardia seriolae		UTF1					GCF_002356035.1-RS_2024_03_28	8121733	Complete Genome	2016-12-01		8121733	8121733							PacBio RS	Research Center for Bioinformatics and Biosciences, National Research Institute of Fisheries Science, Japan Fisheries Research and Education Agency	PRJDB5277	SAMD00066002	7687	7353	256		Nocardia	95.58	5.01
